town,office,district,party,candidate,votes
Sterling,President,,DEM,De La Fuente,0
Stonington,President,,DEM,De La Fuente,6
Stratford,President,,DEM,De La Fuente,10
Suffield,President,,DEM,De La Fuente,4
Thomaston,President,,DEM,De La Fuente,2
Thompson,President,,DEM,De La Fuente,9
Tolland,President,,DEM,De La Fuente,2
Torrington,President,,DEM,De La Fuente,2
Trumbull,President,,DEM,De La Fuente,8
Union,President,,DEM,De La Fuente,0
Vernon,President,,DEM,De La Fuente,7
Voluntown,President,,DEM,De La Fuente,0
Wallingford,President,,DEM,De La Fuente,10
Warren,President,,DEM,De La Fuente,0
Washington,President,,DEM,De La Fuente,1
Waterbury,President,,DEM,De La Fuente,45
Waterford,President,,DEM,De La Fuente,3
Watertown,President,,DEM,De La Fuente,5
West Hartford,President,,DEM,De La Fuente,18
West Haven,President,,DEM,De La Fuente,21
Westbrook,President,,DEM,De La Fuente,1
Weston,President,,DEM,De La Fuente,0
Westport,President,,DEM,De La Fuente,8
Wethersfield,President,,DEM,De La Fuente,9
Will ington,President,,DEM,De La Fuente,1
Wilton,President,,DEM,De La Fuente,2
Winchester,President,,DEM,De La Fuente,4
Windham,President,,DEM,De La Fuente,5
Windsor,President,,DEM,De La Fuente,4
Windsor Locks,President,,DEM,De La Fuente,4
Wolcott,President,,DEM,De La Fuente,4
Woodbridge,President,,DEM,De La Fuente,1
Woodbury,President,,DEM,De La Fuente,1
Woodstock,President,,DEM,De La Fuente,0
,President,,DEM,De La Fuente,960
Andover,President,,DEM,Clinton,145
Ansonia,President,,DEM,Clinton,584
Ashford,President,,DEM,Clinton,212
Avon,President,,DEM,Clinton,1097
Barkhamsted,President,,DEM,Clinton,137
Beacon Falls,President,,DEM,Clinton,150
Berlin,President,,DEM,Clinton,1007
Bethany,President,,DEM,Clinton,310
Bethel,President,,DEM,Clinton,737
Bethlehem,President,,DEM,Clinton,144
Bloomfield,President,,DEM,Clinton,2821
Bolton,President,,DEM,Clinton,251
Bozrah,President,,DEM,Clinton,102
Branford,President,,DEM,Clinton,1626
Bridgeport,President,,DEM,Clinton,7278
Bridgewater,President,,DEM,Clinton,95
Bristol,President,,DEM,Clinton,2235
Brookfield,President,,DEM,Clinton,598
Brooklyn,President,,DEM,Clinton,225
Burlington,President,,DEM,Clinton,402
Canaan,President,,DEM,Clinton,54
Canterbury,President,,DEM,Clinton,133
Canton,President,,DEM,Clinton,540
Chaplin,President,,DEM,Clinton,69
Cheshire,President,,DEM,Clinton,1342
Chester,President,,DEM,Clinton,277
Clinton,President,,DEM,Clinton,632
Colchester,President,,DEM,Clinton,624
Colebrook,President,,DEM,Clinton,53
Columbia,President,,DEM,Clinton,267
Cornwall,President,,DEM,Clinton,141
Coventry,President,,DEM,Clinton,521
Cromwell,President,,DEM,Clinton,731
Danbury,President,,DEM,Clinton,2318
Darien,President,,DEM,Clinton,832
Deep River,President,,DEM,Clinton,242
Derby,President,,DEM,Clinton,460
Durham,President,,DEM,Clinton,303
East Granby,President,,DEM,Clinton,244
East Haddam,President,,DEM,Clinton,407
East Hampton,President,,DEM,Clinton,506
East Hartford,President,,DEM,Clinton,2419
East Haven,President,,DEM,Clinton,939
East Lyme,President,,DEM,Clinton,1013
East Windsor,President,,DEM,Clinton,371
Eastford,President,,DEM,Clinton,62
Easton,President,,DEM,Clinton,395
Ellington,President,,DEM,Clinton,488
Enfield,President,,DEM,Clinton,1375
Essex,President,,DEM,Clinton,513
Fairfield,President,,DEM,Clinton,3505
Farmington,President,,DEM,Clinton,1302
Franklin,President,,DEM,Clinton,56
Glastonbury,President,,DEM,Clinton,1985
Goshen,President,,DEM,Clinton,106
Granby,President,,DEM,Clinton,508
Greenwich,President,,DEM,Clinton,3206
Griswold,President,,DEM,Clinton,326
Groton,President,,DEM,Clinton,1332
Guilford,President,,DEM,Clinton,1812
Haddam,President,,DEM,Clinton,437
Hamden,President,,DEM,Clinton,4914
Hampton,President,,DEM,Clinton,111
Hartford,President,,DEM,Clinton,7421
Hartland,President,,DEM,Clinton,51
Harwinton,President,,DEM,Clinton,177
Hebron,President,,DEM,Clinton,415
Kent,President,,DEM,Clinton,264
Killingly,President,,DEM,Clinton,319
Killingworth,President,,DEM,Clinton,356
Lebanon,President,,DEM,Clinton,235
Ledyard,President,,DEM,Clinton,525
Lisbon,President,,DEM,Clinton,145
Litchfield,President,,DEM,Clinton,389
Lyme,President,,DEM,Clinton,206
Madison,President,,DEM,Clinton,1154
Manchester,President,,DEM,Clinton,2574
Mansfield,President,,DEM,Clinton,1051
Marlborough,President,,DEM,Clinton,343
Meriden,President,,DEM,Clinton,1948
Middlebury,President,,DEM,Clinton,271
Middlefield,President,,DEM,Clinton,194
Middletown,President,,DEM,Clinton,2481
Milford,President,,DEM,Clinton,2186
Monroe,President,,DEM,Clinton,643
Montville,President,,DEM,Clinton,504
Morris,President,,DEM,Clinton,90
Naugatuck,President,,DEM,Clinton,757
New Britain,President,,DEM,Clinton,2665
New Canaan,President,,DEM,Clinton,967
New Fairfield,President,,DEM,Clinton,425
New Hartford,President,,DEM,Clinton,250
New Haven,President,,DEM,Clinton,9710
New London,President,,DEM,Clinton,1156
New Milford,President,,DEM,Clinton,882
Newington,President,,DEM,Clinton,1631
Newtown,President,,DEM,Clinton,1363
Norfolk,President,,DEM,Clinton,129
North Branford,President,,DEM,Clinton,496
North Canaan,President,,DEM,Clinton,97
North Haven,President,,DEM,Clinton,1080
North Stonington,President,,DEM,Clinton,201
Norwalk,President,,DEM,Clinton,4458
Norwich,President,,DEM,Clinton,1238
Old Lyme,President,,DEM,Clinton,476
Old Saybrook,President,,DEM,Clinton,660
Orange,President,,DEM,Clinton,680
Oxford,President,,DEM,Clinton,302
Plainfield,President,,DEM,Clinton,412
Plainville,President,,DEM,Clinton,693
Plymouth,President,,DEM,Clinton,270
Pomfret,President,,DEM,Clinton,171
Portland,President,,DEM,Clinton,466
Preston,President,,DEM,Clinton,116
Prospect,President,,DEM,Clinton,252
Putnam,President,,DEM,Clinton,267
Redding,President,,DEM,Clinton,678
Ridgefield,President,,DEM,Clinton,1566
Rocky Hill,President,,DEM,Clinton,982
Roxbury,President,,DEM,Clinton,172
Salem,President,,DEM,Clinton,187
Salisbury,President,,DEM,Clinton,442
Scotland,President,,DEM,Clinton,44
Seymour,President,,DEM,Clinton,397
Sharon,President,,DEM,Clinton,188
Shelton,President,,DEM,Clinton,1219
Sherman,President,,DEM,Clinton,149
Simsbury,President,,DEM,Clinton,1474
Somers,President,,DEM,Clinton,255
South Windsor,President,,DEM,Clinton,1426
Southbury,President,,DEM,Clinton,955
Southington,President,,DEM,Clinton,1651
Sprague,President,,DEM,Clinton,96
Stafford,President,,DEM,Clinton,367
Stamford,President,,DEM,Clinton,7387
Sterling,President,,DEM,Clinton,52
Stonington,President,,DEM,Clinton,1034
Stratford,President,,DEM,Clinton,2554
Suffield,President,,DEM,Clinton,563
Thomaston,President,,DEM,Clinton,170
Thompson,President,,DEM,Clinton,273
Tolland,President,,DEM,Clinton,593
Torrington,President,,DEM,Clinton,843
Trumbull,President,,DEM,Clinton,1556
Union,President,,DEM,Clinton,25
Vernon,President,,DEM,Clinton,1022
Voluntown,President,,DEM,Clinton,51
Wallingford,President,,DEM,Clinton,1632
Warren,President,,DEM,Clinton,56
Washington,President,,DEM,Clinton,252
Waterbury,President,,DEM,Clinton,2937
Waterford,President,,DEM,Clinton,895
Watertown,President,,DEM,Clinton,538
West Hartford,President,,DEM,Clinton,5578
West Haven,President,,DEM,Clinton,2456
Westbrook,President,,DEM,Clinton,293
Weston,President,,DEM,Clinton,940
Westport,President,,DEM,Clinton,2661
Wethersfield,President,,DEM,Clinton,1561
Will ington,President,,DEM,Clinton,209
Wilton,President,,DEM,Clinton,1216
Winchester,President,,DEM,Clinton,239
Windham,President,,DEM,Clinton,740
Windsor,President,,DEM,Clinton,2743
Windsor Locks,President,,DEM,Clinton,442
Wolcott,President,,DEM,Clinton,384
Woodbridge,President,,DEM,Clinton,893
Woodbury,President,,DEM,Clinton,465
Woodstock,President,,DEM,Clinton,305
,President,,DEM,Clinton,"170,045"
Andover,President,,DEM,Sanders,259
Ansonia,President,,DEM,Sanders,598
Ashford,President,,DEM,Sanders,377
Avon,President,,DEM,Sanders,771
Barkhamsted,President,,DEM,Sanders,210
Beacon Falls,President,,DEM,Sanders,270
Berlin,President,,DEM,Sanders,1108
Bethany,President,,DEM,Sanders,376
Bethel,President,,DEM,Sanders,837
Bethlehem,President,,DEM,Sanders,226
Bloomfield,President,,DEM,Sanders,942
Bolton,President,,DEM,Sanders,350
Bozrah,President,,DEM,Sanders,163
Branford,President,,DEM,Sanders,1684
Bridgeport,President,,DEM,Sanders,3756
Bridgewater,President,,DEM,Sanders,125
Bristol,President,,DEM,Sanders,2735
Brookfield,President,,DEM,Sanders,620
Brooklyn,President,,DEM,Sanders,315
Burlington,President,,DEM,Sanders,459
Canaan,President,,DEM,Sanders,126
Canterbury,President,,DEM,Sanders,212
Canton,President,,DEM,Sanders,674
Chaplin,President,,DEM,Sanders,140
Cheshire,President,,DEM,Sanders,1254
Chester,President,,DEM,Sanders,361
Clinton,President,,DEM,Sanders,723
Colchester,President,,DEM,Sanders,977
Colebrook,President,,DEM,Sanders,86
Columbia,President,,DEM,Sanders,408
Cornwall,President,,DEM,Sanders,199
Coventry,President,,DEM,Sanders,761
Cromwell,President,,DEM,Sanders,718
Danbury,President,,DEM,Sanders,1907
Darien,President,,DEM,Sanders,363
Deep River,President,,DEM,Sanders,339
Derby,President,,DEM,Sanders,494
Durham,President,,DEM,Sanders,408
East Granby,President,,DEM,Sanders,283
East Haddam,President,,DEM,Sanders,570
East Hampton,President,,DEM,Sanders,738
East Hartford,President,,DEM,Sanders,1821
East Haven,President,,DEM,Sanders,917
East Lyme,President,,DEM,Sanders,977
East Windsor,President,,DEM,Sanders,498
Eastford,President,,DEM,Sanders,117
Easton,President,,DEM,Sanders,313
Ellington,President,,DEM,Sanders,647
Enfield,President,,DEM,Sanders,1765
Essex,President,,DEM,Sanders,458
Fairfield,President,,DEM,Sanders,2358
Farmington,President,,DEM,Sanders,1278
Franklin,President,,DEM,Sanders,100
Glastonbury,President,,DEM,Sanders,1830
Goshen,President,,DEM,Sanders,201
Granby,President,,DEM,Sanders,715
Greenwich,President,,DEM,Sanders,1443
Griswold,President,,DEM,Sanders,549
Groton,President,,DEM,Sanders,1536
Guilford,President,,DEM,Sanders,1483
Haddam,President,,DEM,Sanders,604
Hamden,President,,DEM,Sanders,3641
Hampton,President,,DEM,Sanders,137
Hartford,President,,DEM,Sanders,3150
Hartland,President,,DEM,Sanders,113
Harwinton,President,,DEM,Sanders,274
Hebron,President,,DEM,Sanders,528
Kent,President,,DEM,Sanders,279
Killingly,President,,DEM,Sanders,567
Killingworth,President,,DEM,Sanders,357
Lebanon,President,,DEM,Sanders,466
Ledyard,President,,DEM,Sanders,631
Lisbon,President,,DEM,Sanders,231
Litchfield,President,,DEM,Sanders,471
Lyme,President,,DEM,Sanders,188
Madison,President,,DEM,Sanders,902
Manchester,President,,DEM,Sanders,2990
Mansfield,President,,DEM,Sanders,2173
Marlborough,President,,DEM,Sanders,382
Meriden,President,,DEM,Sanders,1813
Middlebury,President,,DEM,Sanders,324
Middlefield,President,,DEM,Sanders,277
Middletown,President,,DEM,Sanders,2858
Milford,President,,DEM,Sanders,2238
Monroe,President,,DEM,Sanders,668
Montville,President,,DEM,Sanders,732
Morris,President,,DEM,Sanders,122
Naugatuck,President,,DEM,Sanders,1205
New Britain,President,,DEM,Sanders,2346
New Canaan,President,,DEM,Sanders,370
New Fairfield,President,,DEM,Sanders,475
New Hartford,President,,DEM,Sanders,440
New Haven,President,,DEM,Sanders,7062
New London,President,,DEM,Sanders,1343
New Milford,President,,DEM,Sanders,1186
Newington,President,,DEM,Sanders,1632
Newtown,President,,DEM,Sanders,1178
Norfolk,President,,DEM,Sanders,141
North Branford,President,,DEM,Sanders,488
North Canaan,President,,DEM,Sanders,186
North Haven,President,,DEM,Sanders,1003
North Stonington,President,,DEM,Sanders,276
Norwalk,President,,DEM,Sanders,2989
Norwich,President,,DEM,Sanders,1606
Old Lyme,President,,DEM,Sanders,434
Old Saybrook,President,,DEM,Sanders,561
Orange,President,,DEM,Sanders,529
Oxford,President,,DEM,Sanders,405
Plainfield,President,,DEM,Sanders,574
Plainville,President,,DEM,Sanders,833
Plymouth,President,,DEM,Sanders,428
Pomfret,President,,DEM,Sanders,307
Portland,President,,DEM,Sanders,558
Preston,President,,DEM,Sanders,215
Prospect,President,,DEM,Sanders,353
Putnam,President,,DEM,Sanders,359
Redding,President,,DEM,Sanders,502
Ridgefield,President,,DEM,Sanders,1039
Rocky Hill,President,,DEM,Sanders,931
Roxbury,President,,DEM,Sanders,123
Salem,President,,DEM,Sanders,237
Salisbury,President,,DEM,Sanders,326
Scotland,President,,DEM,Sanders,98
Seymour,President,,DEM,Sanders,601
Sharon,President,,DEM,Sanders,185
Shelton,President,,DEM,Sanders,1292
Sherman,President,,DEM,Sanders,173
Simsbury,President,,DEM,Sanders,1280
Somers,President,,DEM,Sanders,293
South Windsor,President,,DEM,Sanders,1351
Southbury,President,,DEM,Sanders,832
Southington,President,,DEM,Sanders,1763
Sprague,President,,DEM,Sanders,180
Stafford,President,,DEM,Sanders,668
Stamford,President,,DEM,Sanders,3880
Sterling,President,,DEM,Sanders,121
Stonington,President,,DEM,Sanders,1155
Stratford,President,,DEM,Sanders,1992
Suffield,President,,DEM,Sanders,617
Thomaston,President,,DEM,Sanders,299
Thompson,President,,DEM,Sanders,360
Tolland,President,,DEM,Sanders,806
Torrington,President,,DEM,Sanders,1300
Trumbull,President,,DEM,Sanders,1330
Union,President,,DEM,Sanders,56
Vernon,President,,DEM,Sanders,1357
Voluntown,President,,DEM,Sanders,141
Wallingford,President,,DEM,Sanders,1751
Warren,President,,DEM,Sanders,89
Washington,President,,DEM,Sanders,236
Waterbury,President,,DEM,Sanders,2690
Waterford,President,,DEM,Sanders,1005
Watertown,President,,DEM,Sanders,771
West Hartford,President,,DEM,Sanders,4429
West Haven,President,,DEM,Sanders,2286
Westbrook,President,,DEM,Sanders,299
Weston,President,,DEM,Sanders,398
Westport,President,,DEM,Sanders,1087
Wethersfield,President,,DEM,Sanders,1495
Will ington,President,,DEM,Sanders,431
Wilton,President,,DEM,Sanders,626
Winchester,President,,DEM,Sanders,466
Windham,President,,DEM,Sanders,1171
Windsor,President,,DEM,Sanders,1699
Windsor Locks,President,,DEM,Sanders,552
Wolcott,President,,DEM,Sanders,514
Woodbridge,President,,DEM,Sanders,546
Woodbury,President,,DEM,Sanders,527
Woodstock,President,,DEM,Sanders,497
,President,,DEM,Sanders,"152,379"
Andover,President,,DEM,Uncommitted,0
Ansonia,President,,DEM,Uncommitted,0
Ashford,President,,DEM,Uncommitted,0
Avon,President,,DEM,Uncommitted,0
Barkhamsted,President,,DEM,Uncommitted,0
Beacon Falls,President,,DEM,Uncommitted,0
Berlin,President,,DEM,Uncommitted,0
Bethany,President,,DEM,Uncommitted,0
Bethel,President,,DEM,Uncommitted,0
Bethlehem,President,,DEM,Uncommitted,0
Bloomfield,President,,DEM,Uncommitted,0
Bolton,President,,DEM,Uncommitted,0
Bozrah,President,,DEM,Uncommitted,0
Branford,President,,DEM,Uncommitted,0
Bridgeport,President,,DEM,Uncommitted,0
Bridgewater,President,,DEM,Uncommitted,0
Bristol,President,,DEM,Uncommitted,0
Brookfield,President,,DEM,Uncommitted,0
Brooklyn,President,,DEM,Uncommitted,0
Burlington,President,,DEM,Uncommitted,0
Canaan,President,,DEM,Uncommitted,0
Canterbury,President,,DEM,Uncommitted,0
Canton,President,,DEM,Uncommitted,0
Chaplin,President,,DEM,Uncommitted,0
Cheshire,President,,DEM,Uncommitted,0
Chester,President,,DEM,Uncommitted,0
Clinton,President,,DEM,Uncommitted,0
Colchester,President,,DEM,Uncommitted,0
Colebrook,President,,DEM,Uncommitted,0
Columbia,President,,DEM,Uncommitted,0
Cornwall,President,,DEM,Uncommitted,0
Coventry,President,,DEM,Uncommitted,0
Cromwell,President,,DEM,Uncommitted,0
Danbury,President,,DEM,Uncommitted,0
Darien,President,,DEM,Uncommitted,0
Deep River,President,,DEM,Uncommitted,0
Derby,President,,DEM,Uncommitted,0
Durham,President,,DEM,Uncommitted,0
East Granby,President,,DEM,Uncommitted,0
East Haddam,President,,DEM,Uncommitted,0
East Hampton,President,,DEM,Uncommitted,0
East Hartford,President,,DEM,Uncommitted,0
East Haven,President,,DEM,Uncommitted,0
East Lyme,President,,DEM,Uncommitted,0
East Windsor,President,,DEM,Uncommitted,0
Eastford,President,,DEM,Uncommitted,0
Easton,President,,DEM,Uncommitted,0
Ellington,President,,DEM,Uncommitted,0
Enfield,President,,DEM,Uncommitted,0
Essex,President,,DEM,Uncommitted,0
Fairfield,President,,DEM,Uncommitted,0
Farmington,President,,DEM,Uncommitted,0
Franklin,President,,DEM,Uncommitted,0
Glastonbury,President,,DEM,Uncommitted,0
Goshen,President,,DEM,Uncommitted,0
Granby,President,,DEM,Uncommitted,0
Greenwich,President,,DEM,Uncommitted,0
Griswold,President,,DEM,Uncommitted,0
Groton,President,,DEM,Uncommitted,0
Guilford,President,,DEM,Uncommitted,0
Haddam,President,,DEM,Uncommitted,0
Hamden,President,,DEM,Uncommitted,0
Hampton,President,,DEM,Uncommitted,0
Hartford,President,,DEM,Uncommitted,0
Hartland,President,,DEM,Uncommitted,0
Harwinton,President,,DEM,Uncommitted,0
Hebron,President,,DEM,Uncommitted,0
Kent,President,,DEM,Uncommitted,0
Killingly,President,,DEM,Uncommitted,0
Killingworth,President,,DEM,Uncommitted,0
Lebanon,President,,DEM,Uncommitted,0
Ledyard,President,,DEM,Uncommitted,0
Lisbon,President,,DEM,Uncommitted,0
Litchfield,President,,DEM,Uncommitted,0
Lyme,President,,DEM,Uncommitted,0
Madison,President,,DEM,Uncommitted,0
Manchester,President,,DEM,Uncommitted,0
Mansfield,President,,DEM,Uncommitted,0
Marlborough,President,,DEM,Uncommitted,0
Meriden,President,,DEM,Uncommitted,0
Middlebury,President,,DEM,Uncommitted,0
Middlefield,President,,DEM,Uncommitted,0
Middletown,President,,DEM,Uncommitted,0
Milford,President,,DEM,Uncommitted,0
Monroe,President,,DEM,Uncommitted,0
Montville,President,,DEM,Uncommitted,0
Morris,President,,DEM,Uncommitted,0
Naugatuck,President,,DEM,Uncommitted,0
New Britain,President,,DEM,Uncommitted,0
New Canaan,President,,DEM,Uncommitted,0
New Fairfield,President,,DEM,Uncommitted,0
New Hartford,President,,DEM,Uncommitted,0
New Haven,President,,DEM,Uncommitted,0
New London,President,,DEM,Uncommitted,0
New Milford,President,,DEM,Uncommitted,0
Newington,President,,DEM,Uncommitted,0
Newtown,President,,DEM,Uncommitted,0
Norfolk,President,,DEM,Uncommitted,0
North Branford,President,,DEM,Uncommitted,0
North Canaan,President,,DEM,Uncommitted,0
North Haven,President,,DEM,Uncommitted,0
North Stonington,President,,DEM,Uncommitted,0
Norwalk,President,,DEM,Uncommitted,0
Norwich,President,,DEM,Uncommitted,0
Old Lyme,President,,DEM,Uncommitted,0
Old Saybrook,President,,DEM,Uncommitted,0
Orange,President,,DEM,Uncommitted,0
Oxford,President,,DEM,Uncommitted,0
Plainfield,President,,DEM,Uncommitted,0
Plainville,President,,DEM,Uncommitted,0
Plymouth,President,,DEM,Uncommitted,0
Pomfret,President,,DEM,Uncommitted,0
Portland,President,,DEM,Uncommitted,0
Preston,President,,DEM,Uncommitted,0
Prospect,President,,DEM,Uncommitted,0
Putnam,President,,DEM,Uncommitted,0
Redding,President,,DEM,Uncommitted,0
Ridgefield,President,,DEM,Uncommitted,0
Rocky Hill,President,,DEM,Uncommitted,0
Roxbury,President,,DEM,Uncommitted,0
Salem,President,,DEM,Uncommitted,0
Salisbury,President,,DEM,Uncommitted,0
Scotland,President,,DEM,Uncommitted,0
Seymour,President,,DEM,Uncommitted,0
Sharon,President,,DEM,Uncommitted,0
Shelton,President,,DEM,Uncommitted,0
Sherman,President,,DEM,Uncommitted,0
Simsbury,President,,DEM,Uncommitted,0
Somers,President,,DEM,Uncommitted,0
South Windsor,President,,DEM,Uncommitted,0
Southbury,President,,DEM,Uncommitted,0
Southington,President,,DEM,Uncommitted,0
Sprague,President,,DEM,Uncommitted,0
Stafford,President,,DEM,Uncommitted,0
Stamford,President,,DEM,Uncommitted,0
Sterling,President,,DEM,Uncommitted,0
Stonington,President,,DEM,Uncommitted,0
Stratford,President,,DEM,Uncommitted,0
Suffield,President,,DEM,Uncommitted,0
Thomaston,President,,DEM,Uncommitted,0
Thompson,President,,DEM,Uncommitted,0
Tolland,President,,DEM,Uncommitted,0
Torrington,President,,DEM,Uncommitted,0
Trumbull,President,,DEM,Uncommitted,0
Union,President,,DEM,Uncommitted,0
Vernon,President,,DEM,Uncommitted,0
Voluntown,President,,DEM,Uncommitted,0
Wallingford,President,,DEM,Uncommitted,0
Warren,President,,DEM,Uncommitted,0
Washington,President,,DEM,Uncommitted,0
Waterbury,President,,DEM,Uncommitted,0
Waterford,President,,DEM,Uncommitted,0
Watertown,President,,DEM,Uncommitted,0
West Hartford,President,,DEM,Uncommitted,0
West Haven,President,,DEM,Uncommitted,0
Westbrook,President,,DEM,Uncommitted,0
Weston,President,,DEM,Uncommitted,0
Westport,President,,DEM,Uncommitted,0
Wethersfield,President,,DEM,Uncommitted,0
Will ington,President,,DEM,Uncommitted,0
Wilton,President,,DEM,Uncommitted,0
Winchester,President,,DEM,Uncommitted,0
Windham,President,,DEM,Uncommitted,0
Windsor,President,,DEM,Uncommitted,0
Windsor Locks,President,,DEM,Uncommitted,0
Wolcott,President,,DEM,Uncommitted,0
Woodbridge,President,,DEM,Uncommitted,0
Woodbury,President,,DEM,Uncommitted,0
Woodstock,President,,DEM,Uncommitted,0
,President,,DEM,Uncommitted,0
